AREA_NAME,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_2023,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023,BREAKENTER_2019,BREAKENTER_2020,BREAKENTER_2021,BREAKENTER_2022,BREAKENTER_2023,HOMICIDE_2019,HOMICIDE_2020,HOMICIDE_2021,HOMICIDE_2022,HOMICIDE_2023,ROBBERY_2019,ROBBERY_2020,ROBBERY_2021,ROBBERY_2022,ROBBERY_2023,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_2023,THEFTFROMMV_2019,THEFTFROMMV_2020,THEFTFROMMV_2021,THEFTFROMMV_2022,THEFTFROMMV_2023,THEFTOVER_2019,THEFTOVER_2020,THEFTOVER_2021,THEFTOVER_2022,THEFTOVER_2023
Bayview Woods-Steeles,47,33,27,40,60,21,16,27,14,34,2,3,1,0,3,21,33,10,10,27,1,0,0,0,1,6,2,2,2,7,3,1,0,0,2,22,33,27,19,33,2,2,2,4,1
Hillcrest Village,68,50,44,41,68,27,23,40,16,73,9,0,4,0,2,35,18,20,31,40,1,0,1,0,1,17,14,9,32,13,2,0,1,1,1,46,30,56,44,42,6,8,4,5,8
Alderwood,36,37,27,43,44,15,28,31,68,48,5,8,0,12,2,26,43,17,42,20,0,0,0,3,1,5,12,2,7,8,1,0,0,1,2,54,47,47,31,16,7,5,4,8,8
Long Branch,59,70,95,90,96,11,24,41,33,37,11,8,11,30,16,29,34,15,33,27,0,0,1,0,1,30,16,1,7,7,0,0,3,0,2,44,42,39,30,19,1,4,3,5,2
New Toronto,108,87,116,163,168,23,21,15,42,38,9,16,9,21,9,25,41,18,24,38,0,0,0,0,1,17,11,14,16,16,2,4,3,0,1,42,40,24,48,36,2,5,5,7,5
Stonegate-Queensway,91,109,82,104,137,36,49,70,141,148,11,13,5,10,7,64,35,30,44,101,0,0,1,0,2,24,20,19,7,18,2,0,0,0,1,73,98,59,107,69,4,5,7,9,11
Kingsway South,29,11,30,21,65,29,17,36,68,88,7,12,6,6,9,25,21,9,13,55,0,0,0,0,1,13,4,14,8,8,0,0,0,0,2,23,14,17,20,13,4,3,3,4,6
Etobicoke West Mall,52,63,48,52,66,12,10,17,31,62,3,2,4,4,3,8,14,12,21,12,2,1,0,0,1,10,9,2,5,1,4,6,0,1,2,19,29,18,53,49,6,7,3,5,5
Markland Wood,14,42,25,35,45,9,29,22,31,50,9,1,1,1,1,25,12,9,12,15,0,0,0,0,1,13,17,8,11,4,1,0,0,0,2,18,16,23,40,23,3,7,5,3,1
Eringate-Centennial-West Deane,44,42,38,57,90,41,51,66,89,120,3,4,0,0,2,20,12,14,18,31,1,0,0,0,1,11,19,4,12,13,2,4,1,1,2,36,37,34,60,45,4,3,2,3,3
Princess-Rosethorn,26,23,25,27,25,28,20,23,61,115,5,2,5,1,2,33,12,12,13,63,0,0,0,0,1,15,9,2,2,12,0,1,1,1,2,33,37,34,28,19,4,4,2,2,5
Edenbridge-Humber Valley,35,33,35,31,53,23,37,30,76,115,1,4,6,2,2,53,23,16,30,63,0,0,0,0,1,3,9,10,6,7,3,1,2,2,1,33,27,24,39,28,10,1,2,9,5
Humber Heights-Westmount,36,23,31,32,53,19,23,20,29,25,1,1,3,4,1,23,9,16,10,13,0,0,2,1,1,5,2,1,9,6,7,0,5,1,4,13,36,33,18,20,5,1,5,1,2
Willowridge-Martingrove-Richview,96,95,57,98,123,43,70,60,106,105,2,1,6,5,3,42,21,21,27,31,1,0,2,0,1,38,16,6,15,17,5,7,3,4,4,37,43,53,66,61,3,4,3,5,3
Kingsview Village-The Westway,97,100,99,132,151,40,60,82,121,112,5,5,3,5,1,27,14,17,15,40,0,0,1,0,1,14,6,9,10,23,3,2,7,1,2,41,66,94,68,101,2,7,8,6,8
Elms-Old Rexdale,71,49,69,64,61,28,42,51,59,40,1,2,0,2,6,10,13,10,9,16,0,0,0,1,1,16,7,7,15,14,9,0,7,6,2,25,35,18,31,43,4,2,3,7,4
Rexdale-Kipling,58,49,48,58,76,52,40,40,55,74,1,1,2,1,1,14,18,29,21,16,2,0,0,2,1,22,14,10,13,24,5,1,1,1,1,46,42,55,52,47,3,1,2,9,4
Thistletown-Beaumond Heights,75,56,61,52,66,52,43,44,55,48,0,0,1,0,5,14,11,8,17,23,0,0,0,0,1,10,9,6,16,13,2,1,1,5,2,39,55,40,22,55,4,5,2,2,14
Mount Olive-Silverstone-Jamestown,275,207,212,262,297,87,87,77,118,152,5,10,6,8,11,35,18,16,26,24,3,3,0,1,4,59,31,50,54,54,15,18,10,6,16,110,96,83,84,121,8,8,3,18,11
West Humber-Clairville,257,250,243,269,322,486,407,496,775,829,7,5,12,6,10,135,111,98,135,212,2,2,1,1,2,72,76,53,69,77,14,5,5,5,9,355,374,378,464,315,65,56,55,61,80
Black Creek,205,260,207,232,231,72,80,65,70,83,7,2,7,3,5,38,24,27,33,29,0,3,0,1,1,44,23,12,19,28,6,18,13,10,7,65,87,65,42,54,9,16,9,8,13
Pelmo Park-Humberlea,78,55,57,82,104,73,59,67,93,101,1,5,3,5,9.5,23,20,12,32,23,1,0,2,1,1,8,7,4,8,13,3,4,2,3,3,30,48,48,42,24,7,10,2,9,6
Humbermede,168,95,134,119,159,70,76,61,107,122,1,4,2,1,2,62,34,30,35,29,0,0,0,0,1,27,14,18,38,14,4,6,4,2,2,42,59,45,46,76,8,12,13,9,11
Humber Summit,113,92,101,127,165,134,110,134,174,131,7,1,2,2,4,59,25,41,55,90,3,0,1,0,2,28,26,14,30,25,9,5,4,7,6,68,92,86,84,88,22,21,29,23,42
